iter	Passed	Remaining
0	9	9301
1	14	7386
2	18	6085
3	22	5603
4	25	5171
5	32	5334
6	36	5151
7	39	4943
8	43	4802
9	47	4748
10	55	5002
11	65	5371
12	70	5355
13	74	5237
14	81	5351
15	85	5249
16	89	5172
17	96	5274
18	100	5209
19	104	5141
20	111	5203
21	116	5186
22	120	5138
23	130	5321
24	136	5310
25	141	5302
26	146	5273
27	150	5226
28	157	5284
29	163	5274
30	167	5236
31	173	5244
32	178	5222
33	182	5176
34	186	5151
35	192	5160
36	197	5127
37	202	5115
38	208	5135
39	212	5110
40	217	5078
41	222	5084
42	227	5056
43	231	5025
44	236	5023
45	241	5011
46	245	4984
47	250	4961
48	255	4964
49	260	4953
50	265	4944
51	272	4968
52	276	4948
53	281	4928
54	288	4948
55	293	4946
56	298	4936
57	305	4965
58	310	4947
59	314	4928
60	322	4967
61	327	4961
62	333	4957
63	338	4951
64	343	4938
65	348	4928
66	353	4923
67	358	4912
68	363	4899
69	369	4903
70	373	4890
71	379	4896
72	386	4902
73	391	4895
74	396	4893
75	402	4898
76	408	4894
77	413	4893
78	419	4896
79	425	4887
80	432	4905
81	437	4899
82	443	4895
83	450	4908
84	456	4911
85	464	4931
86	469	4926
87	474	4917
88	481	4925
89	486	4916
90	491	4909
91	499	4928
92	504	4922
93	512	4940
94	520	4956
95	531	5005
96	540	5029
97	548	5051
98	556	5061
99	564	5079
100	571	5083
101	579	5105
102	587	5116
103	596	5136
104	603	5143
105	611	5159
106	618	5159
107	626	5175
108	632	5172
109	641	5187
110	647	5185
111	655	5194
112	661	5191
113	668	5194
114	676	5206
115	687	5237
116	696	5253
117	706	5280
118	714	5288
119	725	5318
120	733	5328
121	743	5354
122	756	5392
123	765	5404
124	772	5410
125	780	5414
126	790	5430
127	797	5434
128	806	5445
129	817	5469
130	828	5492
131	838	5514
132	846	5518
133	855	5528
134	865	5546
135	873	5547
136	885	5575
137	895	5596
138	904	5603
139	915	5621
140	924	5634
141	935	5655
142	946	5674
143	954	5674
144	963	5681
145	971	5682
146	984	5711
147	995	5731
148	1004	5736
149	1012	5740
150	1020	5735
151	1029	5744
152	1036	5737
153	1046	5748
154	1054	5747
155	1064	5758
156	1073	5765
157	1083	5773
158	1095	5796
159	1104	5799
160	1114	5808
161	1125	5823
162	1137	5842
163	1149	5859
164	1163	5888
165	1175	5905
166	1185	5913
167	1198	5935
168	1209	5948
169	1222	5968
170	1231	5972
171	1242	5980
172	1258	6014
173	1274	6051
174	1291	6089
175	1306	6117
176	1321	6145
177	1334	6163
178	1353	6207
179	1372	6251
180	1392	6301
181	1404	6314
182	1416	6323
183	1428	6333
184	1439	6342
185	1451	6351
186	1463	6361
187	1474	6370
188	1484	6368
189	1493	6368
190	1503	6367
191	1513	6367
192	1521	6363
193	1531	6362
194	1540	6360
195	1554	6375
196	1565	6382
197	1578	6395
198	1591	6405
199	1603	6414
200	1617	6430
201	1628	6433
202	1640	6439
203	1649	6436
204	1660	6439
205	1671	6441
206	1680	6437
207	1689	6434
208	1699	6430
209	1707	6424
210	1716	6417
211	1724	6411
212	1733	6404
213	1741	6395
214	1750	6391
215	1762	6395
216	1772	6394
217	1782	6394
218	1790	6386
219	1800	6382
220	1810	6380
221	1820	6380
222	1832	6383
223	1841	6379
224	1851	6376
225	1862	6377
226	1872	6375
227	1884	6381
228	1897	6387
229	1909	6392
230	1920	6393
231	1931	6394
232	1945	6403
233	1955	6400
234	1964	6395
235	1975	6396
236	1984	6389
237	1994	6387
238	2003	6379
239	2012	6373
240	2025	6378
241	2034	6372
242	2047	6377
243	2063	6394
244	2078	6405
245	2091	6409
246	2103	6412
247	2112	6406
248	2125	6409
249	2137	6412
250	2147	6409
251	2159	6409
252	2175	6423
253	2186	6422
254	2208	6451
255	2220	6454
256	2234	6461
257	2245	6457
258	2260	6468
259	2272	6468
260	2284	6469
261	2296	6469
262	2306	6464
263	2317	6459
264	2326	6453
265	2335	6443
266	2348	6446
267	2360	6446
268	2369	6439
269	2382	6441
270	2393	6437
271	2405	6437
272	2414	6430
273	2426	6429
274	2438	6428
275	2447	6420
276	2459	6418
277	2469	6413
278	2480	6410
279	2492	6408
280	2505	6410
281	2514	6401
282	2527	6402
283	2539	6402
284	2552	6403
285	2564	6402
286	2575	6398
287	2586	6393
288	2595	6384
289	2605	6379
290	2617	6377
291	2626	6367
292	2636	6362
293	2652	6370
294	2662	6363
295	2672	6356
296	2683	6352
297	2694	6347
298	2705	6342
299	2715	6336
300	2726	6331
301	2737	6328
302	2750	6326
303	2760	6320
304	2771	6315
305	2785	6317
306	2799	6320
307	2810	6315
308	2820	6306
309	2830	6300
310	2840	6292
311	2849	6283
312	2861	6281
313	2871	6274
314	2883	6270
315	2896	6269
316	2906	6262
317	2916	6254
318	2926	6247
319	2936	6240
320	2946	6232
321	2958	6229
322	2967	6219
323	2977	6211
324	2989	6208
325	3000	6203
326	3010	6196
327	3024	6197
328	3034	6189
329	3043	6179
330	3053	6172
331	3064	6166
332	3075	6160
333	3087	6156
334	3099	6152
335	3107	6141
336	3116	6131
337	3128	6127
338	3137	6117
339	3146	6108
340	3156	6100
341	3164	6088
342	3175	6082
343	3185	6074
344	3196	6068
345	3207	6062
346	3216	6052
347	3225	6042
348	3235	6035
349	3253	6041
350	3266	6039
351	3279	6037
352	3288	6027
353	3297	6018
354	3307	6009
355	3317	6000
356	3327	5992
357	3336	5983
358	3346	5975
359	3359	5972
360	3371	5967
361	3384	5964
362	3396	5959
363	3409	5956
